id,hub,zcta,state,latitude,longitude,predicted_pressure,predicted_risk,owner_households,renter_households,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd
14059-2024,ZCTA 14059,14059,US,42.833552,-78.634046,100.3086351951777,OK,3073,438,0.99,-25.38,-4.08,1160.0
39861-2024,ZCTA 39861,39861,US,31.13535,-84.987248,100.3073453999715,OK,345,64,3.29,-26.44,-4.32,658.0
62274-2024,ZCTA 62274,62274,US,38.091163,-89.40027,100.3055042522285,OK,2310,346,0.83,-23.79,-0.71,441.0
55302-2024,ZCTA 55302,55302,US,45.24572,-94.11727,100.29442844431586,OK,2567,301,2.15,-21.2,-0.3,1050.0
08848-2024,ZCTA 08848,8848,US,40.594266,-75.096659,100.29031433682789,OK,2659,250,-3.13,-17.76,-4.23,1484.0
45361-2024,ZCTA 45361,45361,US,39.963712,-84.414821,100.27939088544758,OK,67,19,-16.25,-24.0,-18.18,1604.0
68858-2024,ZCTA 68858,68858,US,40.965845,-99.37754,100.27620210286179,OK,99,18,-3.88,-18.18,-6.56,925.0
07630-2024,ZCTA 07630,7630,US,40.97499,-74.023248,100.27599126029673,OK,2419,217,2.8,-24.65,-0.19,1887.0
53063-2024,ZCTA 53063,53063,US,43.9635,-87.802928,100.27092902867946,OK,553,71,1.84,-22.83,-3.32,865.0
52048-2024,ZCTA 52048,52048,US,42.737292,-91.255776,100.26770520515795,OK,80,15,-8.05,-21.05,-13.64,475.0
11560-2024,ZCTA 11560,11560,US,40.880757,-73.588724,100.26577766498168,OK,2146,288,7.62,-32.08,-0.55,3179.0
96750-2024,ZCTA 96750,96750,US,19.534274,-155.892062,100.26287124919045,OK,761,219,3.54,-37.96,-10.57,974.0
56452-2024,ZCTA 56452,56452,US,46.957022,-94.448224,100.24325663455528,OK,870,104,2.59,-14.05,3.83,719.0
49837-2024,ZCTA 49837,49837,US,45.868678,-87.079109,100.2366037578508,OK,3714,443,10.11,-30.02,6.02,887.0
16259-2024,ZCTA 16259,16259,US,40.925711,-79.451859,100.23653680901973,OK,715,126,-5.05,-20.75,-4.98,664.0
35223-2024,ZCTA 35223,35223,US,33.491488,-86.73447,100.23607369583179,OK,3907,401,1.38,-21.98,-0.93,1395.0
