id,hub,zcta,state,latitude,longitude,risk,volume,demand_index,owner_households,renter_households,owner_share_pct,renter_share_pct,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd,source
12169-2024,ZCTA 12169,12169,US,42.592887,-73.448036,STOCKOUT_RISK,40,177.29,172,86,62.55,31.27,1.18,120.51,21.68,782.0,ACS DP04 + ACS5 (national)
47231-2024,ZCTA 47231,47231,US,38.900912,-85.494614,STOCKOUT_RISK,40,177.23,138,147,43.4,46.23,-12.1,119.4,22.31,2025.0,ACS DP04 + ACS5 (national)
50234-2024,ZCTA 50234,50234,US,41.887962,-93.181347,STOCKOUT_RISK,40,177.21,223,41,72.17,13.27,16.75,115.79,23.11,491.0,ACS DP04 + ACS5 (national)
41034-2024,ZCTA 41034,41034,US,38.687149,-83.900216,STOCKOUT_RISK,40,177.13,411,43,89.54,9.37,6.75,126.32,8.77,929.0,ACS DP04 + ACS5 (national)
15935-2024,ZCTA 15935,15935,US,40.19794,-78.967164,STOCKOUT_RISK,51,176.9,853,188,69.98,15.42,-10.87,141.03,-4.91,820.0,ACS DP04 + ACS5 (national)
29378-2024,ZCTA 29378,29378,US,34.966792,-81.968697,STOCKOUT_RISK,40,176.86,30,133,16.76,74.3,0.0,95.59,58.41,918.0,ACS DP04 + ACS5 (national)
28702-2024,ZCTA 28702,28702,US,35.379976,-83.641979,STOCKOUT_RISK,40,176.78,140,81,29.72,17.2,15.7,113.16,22.34,906.0,ACS DP04 + ACS5 (national)
41763-2024,ZCTA 41763,41763,US,37.054631,-83.120677,STOCKOUT_RISK,40,176.72,207,51,77.53,19.1,-7.17,131.82,8.98,943.0,ACS DP04 + ACS5 (national)
81057-2024,ZCTA 81057,81057,US,38.123016,-102.901912,STOCKOUT_RISK,40,176.45,137,49,68.16,24.38,1.48,122.73,13.56,963.0,ACS DP04 + ACS5 (national)
18063-2024,ZCTA 18063,18063,US,40.782777,-75.181792,STOCKOUT_RISK,40,176.34,137,94,54.15,37.15,57.47,67.86,53.33,1264.0,ACS DP04 + ACS5 (national)
61949-2024,ZCTA 61949,61949,US,39.657567,-87.858415,STOCKOUT_RISK,40,176.27,67,18,69.79,18.75,0.0,125.0,14.29,850.0,ACS DP04 + ACS5 (national)
12197-2024,ZCTA 12197,12197,US,42.609999,-74.724749,STOCKOUT_RISK,52,176.11,742,86,58.94,6.83,-0.13,132.43,3.03,732.0,ACS DP04 + ACS5 (national)
64660-2024,ZCTA 64660,64660,US,39.576684,-93.097156,STOCKOUT_RISK,40,176.08,167,23,71.98,9.91,6.37,130.0,-0.43,438.0,ACS DP04 + ACS5 (national)
68303-2024,ZCTA 68303,68303,US,40.262307,-97.415362,STOCKOUT_RISK,40,176.07,87,14,51.18,8.24,-1.14,133.33,1.8,675.0,ACS DP04 + ACS5 (national)
12525-2024,ZCTA 12525,12525,US,41.686274,-74.192293,STOCKOUT_RISK,57,175.58,735,362,53.42,26.31,69.75,63.8,40.98,1750.0,ACS DP04 + ACS5 (national)
06091-2024,ZCTA 06091,06091,US,42.026452,-72.980213,STOCKOUT_RISK,40,175.22,95,35,48.22,17.77,35.71,94.44,18.67,1896.0,ACS DP04 + ACS5 (national)
25285-2024,ZCTA 25285,25285,US,38.539656,-81.101556,STOCKOUT_RISK,40,175.13,195,171,49.49,43.4,7.73,108.54,25.48,648.0,ACS DP04 + ACS5 (national)
42343-2024,ZCTA 42343,42343,US,37.652848,-86.693878,STOCKOUT_RISK,40,174.89,366,130,56.31,20.0,-18.3,140.74,-5.39,901.0,ACS DP04 + ACS5 (national)
